name_zh,name_pinyin,gate_category,subcategory,four_qi,five_flavors,meridians,primary_functions,indications,constitutions_suitable,constitutions_caution,contraindications,seasonality,prep_methods,pairing_good,pairing_bad,dietary_dosage,medicinal_dosage,modern_notes,source_ref
三七,san qi,中药材,补益,凉,辛咸、咸,肾;肝;肺;脾;胃;胆;心;小肠,化瘀止血;消肿定痛,外伤出血;瘀痛,气虚、阳虚、阴虚、平和、痰湿,过量慎用；适量使用;忌过量,阴虚火旺慎；脾虚湿盛慎；孕妇慎；实热内盛慎,四季,煎服/冲服/炙用/研末/先煎/外用/煲汤/后下/泡饮/炖煮,姜;枣;米;枸杞;红枣;蜂蜜,油腻;辛辣,——,6-15g/日,药食两用：具补益、安神或抗疲劳作用。；稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
丝瓜,si gua,食材,蔬菜,凉,甘,肝;胃,清热化痰;凉血解毒,热病;痰喘;痈肿,湿热、痰湿,适量为宜,脾胃虚寒慎,夏、秋,清炒/煮汤,鸡蛋;虾仁;蛤蜊,白萝卜,100-200g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
丹参,dan shen,中药材,安神,寒,苦甘、辛,肾;肝;肺;脾;胃;心;胆;小肠,活血祛瘀;凉血安神;清心除烦,心悸失眠;痛经;胸痹心痛;失眠,血虚、气滞、痰湿、阳虚、阴虚,过量慎用；适量使用;忌过量,实热内盛慎；阴虚火旺慎；孕妇慎；脾虚湿盛慎,四季,炙用/生食/先煎/泡茶/煲汤/煎服/冲服/后下/外用/研末/泡饮/炖煮,姜;枣;米;枸杞;红枣;蜂蜜;红花;川芎;当归;桃仁,油腻;辛辣,——,6-15g/日,药食两用：具补益、安神或抗疲劳作用。；稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
丹皮,dan pi,中药材,安神,热、微温,酸涩、苦,脾;胃;肝;肾;肺;心;小肠;胆,清热凉血;活血散瘀,温热病;血热出血,痰湿、血虚、平和、湿热、气滞,过量慎用,阴虚火旺慎；孕妇慎；实热内盛慎；脾虚湿盛慎,四季,煎服/研末/煲汤/外用/冲服/生食/炙用/泡茶/后下/先煎,姜;枣;米,——,——,9-30g/日,药食两用：具清热、抗炎、调节代谢作用。,《本草纲目》要点/现代药理参考
乌梅,wu mei,中药材,木本花果类,凉,咸、苦,肺;脾;胃;心;肝;肾;小肠;胆,敛肺生津;安蛔止泻,久咳虚喘;蛔厥腹痛,血虚、气滞、平和、痰湿、湿热,过量慎用,阴虚火旺慎；脾虚湿盛慎；孕妇慎；实热内盛慎,四季,外用/生食/泡茶/炙用/煲汤/先煎/冲服/后下/研末,姜;枣;米,——,——,1-3g/日,兼具药理与传统用途：具清热、止痛、抗菌或收敛作用。,《本草纲目》要点/现代药理参考
乌药,wu yao,中药材,行气止痛,温,辛,肺;脾;肾;膀胱,行气止痛;温肾散寒,胸腹胀痛;寒疝腹痛;小便频数;遗尿,阳虚、气滞、平和,气虚、阴虚,气血虚而内热者慎;孕妇慎,四季,煎服/研末,当归;川芎;香附,——,——,3-9g/日,药食参考条目。具有行气、止痛、温肾作用。,《中国药典》/《本草纲目》
乌龙茶,wu long cha,食材,茶类,平,苦;甘,肝;胆;胃,消食化积;降脂,食积;高血脂,平和,适量饮用,——,四季,泡饮,——,——,5-8g/泡,——,半发酵茶，香气高雅，降脂效果好。,《茶经》/现代营养学
乳香,ru xiang,中药材,外用草药类,微温,辛咸、辛甘,心;小肠;肝;肾;肺;胆;脾;胃,活血止痛;消肿生肌,跌打损伤;疮疡,阳虚、阴虚、湿热、平和、气滞,适量使用;忌过量,孕妇慎；实热内盛慎；阴虚火旺慎；脾虚湿盛慎,四季,泡茶/煲汤/生食/煎服/外用/炖煮/蒸食/熬膏,姜;葱;米,辛辣;油腻,——,适量入菜,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
五加皮,wu jia pi,中药材,祛风除湿,温,辛;苦,肝;肾,祛风湿;补益肝肾;强筋骨,风寒湿痹;腰膝酸软;筋骨痿软,阳虚、气滞、平和,阴虚火旺,阴虚火旺者慎,四季,煎服/泡酒,杜仲;牛膝,——,——,6-12g/日,药食参考条目。具祛风湿、强筋骨作用。,《中国药典》/《神农本草经》
五味子,wu wei zi,中药材,温里,温、寒,酸、辛甘,肝;肾;肺;脾;胃;胆;心;小肠;大肠,敛肺止咳;涩精止泻,久咳虚喘;滑精,阴虚、气虚、湿热、痰湿、气滞,过量慎用,实热内盛慎；孕妇慎；阴虚火旺慎；脾虚湿盛慎；高尿酸慎,四季,研末/后下/外用/泡茶/冲服/煲汤/生食/炙用/煎服/先煎/研末冲服/包煎,姜;枣;米;五味子,——,——,100-250g/餐,药食两用：具补益、安神或抗疲劳作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
五指毛桃,wu zhi mao tao,中药材,补益,凉、平,咸、辛甘,肝;肾;肺;心;脾;小肠;胃;胆,健脾祛湿;益气固表,脾虚气弱;水肿,气滞、血虚、阴虚、气虚、痰湿,适量使用;忌过量,阴虚火旺慎；孕妇慎；实热内盛慎；脾虚湿盛慎,四季,生食/泡饮/研末/泡茶/外用/煎服/煲汤/炖煮,枸杞;红枣;蜂蜜,油腻;辛辣,——,3-9g/日,稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
人参,ren shen,中药材,清热,温,苦、淡,心;肝;脾;肾;胃;肺;胆;小肠;膀胱;大肠,大补元气;生津安神,气虚欲脱;脾肺气虚,阳虚、血虚、阴虚、平和、痰湿,过量慎用,孕妇慎；阴虚火旺慎；实热内盛慎；脾虚湿盛慎；高尿酸慎,四季,冲服/炙用/煲汤/泡茶/外用/煎服/后下/先煎/研末冲服,人参,——,——,9-30g/日,常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
人参花,ren shen hua,中药材,安神,热,辛、苦甘,肺;脾;胃;心;小肠;肝;胆;肾,益气安神;清心,心悸失眠;体虚,气虚、平和、痰湿、阳虚、气滞,适量使用;忌过量,实热内盛慎；阴虚火旺慎；脾虚湿盛慎；孕妇慎,四季,外用/炖煮/煲汤/泡饮/泡茶/炙用,枸杞;红枣;蜂蜜,油腻;辛辣,——,15-60g/日,稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
佩兰,pei lan,中药材,民间草药类,微温,酸涩、苦甘,肝;肾;肺;心;脾;胆;小肠;胃,芳香化湿;醒脾开胃,口臭;胸闷,平和、湿热、气虚、气滞、阴虚,过量慎用；适量使用;忌过量,阴虚火旺慎；脾虚湿盛慎；实热内盛慎；孕妇慎,四季,先煎/煎服/泡茶/煲汤/后下/冲服/炙用/外用/凉拌/蒸食/烹饪/炖煮/泡饮/煮粥,姜;枣;米;红枣,辛辣;油腻,——,3-9g/日,药食两用：具清热、抗炎、调节代谢作用。；常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
兔肉,tu rou,动物类,畜肉,凉,甘,肝;大肠,补中益气;凉血解毒,消渴;便血,阴虚、湿热,适量为宜,阳虚慎;孕妇慎,秋、冬,炒/炖/烤,枸杞;山药,鸡蛋;姜;芹菜,100-150g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
党参,dang shen,中药材,补益,寒,甘、苦甘,肝;胆;肺;脾;胃;心;小肠;肾,补中益气;健脾益肺,气短乏力;食少便溏,平和、气虚、痰湿、血虚、阳虚,过量慎用；适量使用;忌过量,脾虚湿盛慎；孕妇慎；实热内盛慎；阴虚火旺慎,四季,研末/煎服/泡茶/炙用/外用/先煎/后下/生食/煲汤/炖煮/泡饮,姜;枣;米;枸杞;红枣;蜂蜜,油腻;辛辣,——,9-30g/日,药食两用：具补益、安神或抗疲劳作用。；稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
党参炖鸡,dang shen dun ji,食材,药膳饮品类,平,甘,脾;肺,气虚乏力;食少,脾;肺,痰湿、血虚、阴虚、平和、气滞,孕期慎用;适量为宜,脾虚湿盛慎；阴虚火旺慎；孕妇慎；实热内盛慎,四季,炖煮,枸杞;红枣;桂圆,过量酒精,适量,6-15g/日,药膳或滋补饮品原料，适宜体虚调养及季节性食疗。,《本草纲目》要点/现代药理参考
八角,ba jiao,中药材,调味香料类,凉,辛甘、辛,肝;肾;肺;脾;胃;胆;心;小肠,温中理气;祛寒止痛,腹冷胀痛;呕吐,阳虚、阴虚、气虚、痰湿、湿热,适量为宜;忌过食,实热内盛慎；孕妇慎；脾虚湿盛慎；阴虚火旺慎,四季,外用/研末/泡酒/泡茶/煎服/炖煮/煲汤/冲泡/香料/生食,姜;枸杞;蜂蜜,酒精;油炸,——,9-30g/日,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。,《本草纲目》要点/现代药理参考
冬瓜,dong gua,食材,蔬菜,凉,甘、淡,肺;大肠;膀胱,利水消肿;清热解毒,水肿;暑热;痰热咳嗽,痰湿、湿热、平和,适量为宜;忌过食,脾胃虚寒慎;肾虚者慎,夏、秋,煮汤/清炒/炖煮/凉拌,薏米;海带;鸭肉;莲子;排骨,醋;鲫鱼,150-250g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
冬虫夏草,dong chong xia cao,中药材,补阳,温,甘,肺;肾,补肾益肺;止血化痰,肾虚阳痿;肺虚久咳,阳虚、气虚,适量为宜,实热慎;阴虚火旺慎,四季,炖/泡酒,鸭肉;乌鸡;枸杞,萝卜,2-3g/日,3-9g/日,药食两用：具补益、安神或抗疲劳作用。,《本草纲目》要点/现代药理参考
冰片,bing pian,中药材,外用草药类,平,咸、甘,肾;肝;肺;心;脾;胃;小肠;胆,清热止痛;开窍,喉痛;头痛,气滞、湿热、阴虚、阳虚、气虚,适量使用;忌过量,脾虚湿盛慎；实热内盛慎；阴虚火旺慎；孕妇慎,四季,蒸食/炖煮/煲汤/生食/煎服/熬膏/泡茶/外用,姜;葱;米,辛辣;油腻,——,1-3g/日,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
决明子,jue ming zi,中药材,解表,凉,辛甘、苦,肾;肝;肺;脾;胃;胆;心;小肠,清肝明目;润肠通便,目赤肿痛;便秘,痰湿、气虚、阴虚、气滞、平和,过量慎用,孕妇慎；脾虚湿盛慎；实热内盛慎；阴虚火旺慎,四季,泡茶/煲汤/研末/煎服/先煎/生食/外用/冲服/炙用/后下,姜;枣;米,——,——,1-3g/日,药食两用：具清热、抗炎、调节代谢作用。,《本草纲目》要点/现代药理参考
刘寄奴,liu ji nu,中药材,活血祛瘀,温,苦;辛,肝,活血通经;止痛止血,瘀血疼痛;经闭痛经,血瘀,孕妇慎,——,四季,煎服,——,——,——,6-12g/日,活血相关研究,中医方药
刺五加,ci wu jia,食材,野菜山珍类,温,甘辛,脾;肾,益气健脾;补肾安神,体虚劳倦;失眠,气虚、平和、血虚,新鲜适量食用,脾虚湿盛慎；实热内盛慎；孕妇慎；阴虚火旺慎,四季,煮汤/泡茶,姜;蒜;香油,辛辣;油炸,适量,3-9g/日,山野食材兼具养生与食疗价值，富含氨基酸与多糖。,《本草纲目》要点/现代药理参考
半夏,ban xia,中药材,祛风湿,微温,苦甘、甘酸,心;小肠;肾;肝;脾;肺;胃;大肠,燥湿化痰;降逆止呕,痰湿咳嗽;恶心呕吐,气滞、阳虚、平和、湿热、阴虚火旺,过量慎用,脾虚湿盛慎；实热内盛慎；高尿酸慎,四季,煲汤/煎服/外用/后下/泡茶/包煎/研末冲服/冲服,半夏,——,——,9-30g/日,常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
半枝莲,ban zhi lian,中药材,民间草药类,温,甘酸、辛咸,肝;胆;脾;胃;肾;肺;心;小肠,清热解毒;活血化瘀,肿毒;跌打,气虚、湿热、气滞、阳虚,适量使用;忌过量,阴虚火旺慎；孕妇慎；脾虚湿盛慎；实热内盛慎,四季,泡饮/蒸食/煲汤/煎服/炖煮/烹饪/煮粥/凉拌,姜;米;红枣,辛辣;油腻,——,10-50g/日,常见食疗与草药条目，兼具调理与保健价值。,《本草纲目》要点/现代药理参考
南瓜,nan gua,食材,蔬菜,温,甘,脾;胃,补中益气;驱虫,气虚;虫积,血虚、气滞、湿热、痰湿、阴虚,适量为宜;忌过食,脾虚湿盛慎；实热内盛慎；孕妇慎；阴虚火旺慎,四季,蒸/煮,姜;枸杞;山药,酒精;油炸,150-250g/餐,——,营养学与食疗结合：具降脂、抗氧化、清热等功效。,《本草纲目》要点/现代药理参考
厚朴,hou po,中药材,行气燥湿,温,苦;辛,脾;胃;肺;大肠,燥湿消痰;下气除满,湿阻中焦;脘腹胀满;食积气滞;痰壅喘咳,痰湿、湿热、气滞、平和,气虚、阴虚,孕妇慎用;气虚津亏者慎,四季,煎服/姜炙,苍术;陈皮;枳实,——,——,3-9g/日,药食参考条目。用于燥湿、行气、消积。,《中国药典》/《神农本草经》
土茯苓,tu fu ling,中药材,解毒利湿,平,甘;淡,肝;胃,解毒;利湿通淋,湿热黄疸;淋浊带下,湿热,阴虚津亏慎,——,四季,煎服,——,——,——,15-30g/日,祛湿解毒研究,中医方药
地骨皮,di gu pi,中药材,清热解毒,温、寒,苦、酸,心;肝;脾;小肠;肾;胃;肺;胆;大肠;膀胱,凉血退蒸;清泻肺热,骨蒸劳热;咳嗽,血虚、气滞、平和、痰湿、湿热,过量慎用,阴虚火旺慎；实热内盛慎；孕妇慎；脾虚湿盛慎；高尿酸慎,四季,后下/煎服/煲汤/生食/先煎/外用/泡茶/炙用/包煎/冲服,姜;枣;米;地骨皮,——,——,15-60g/日,药食两用：具清热、抗炎、调节代谢作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
地黄,di huang,中药材,清热凉血,寒,甘;苦,心;肝;肾,清热凉血;养阴生津,热病烦渴;吐血衄血;阴虚内热;骨蒸劳热,阴虚、血虚、湿热,脾虚湿盛,脾虚泄泻;胃寒食少者慎,四季,煎服/鲜用/捣汁,麦冬;玄参,萝卜;葱;蒜,——,9-15g/日,"此为""生地黄""的功效。与""熟地黄""不同。",《中国药典》/《神农本草经》
夏枯草,xia ku cao,中药材,清肝明目,寒,苦;辛,肝;胆,清肝火;散结消肿,目赤肿痛;瘰疬痰核,肝火上炎,脾胃虚寒慎,——,夏,煎服,——,——,——,9-15g/日,降压辅助研究,中医方药
夜交藤,ye jiao teng,中药材,养心安神,平,甘;微苦,心;肝,养心安神;祛风通络,心神不宁;失眠多梦;风湿痹痛;皮肤瘙痒,阴虚、血虚、平和,痰湿,烦躁多汗;体虚者慎,四季,煎服/外洗,酸枣仁;合欢皮,——,——,15-30g/日,药食参考条目。即何首乌的藤茎。,《本草纲目》/《开宝本草》
大枣,da zao,食材,果品,温,甘,脾;胃;心,补中益气;养血安神,脾虚食少;气血不足;失眠,气虚、血虚、阳虚,适量为宜;忌过食,痰湿体质慎;糖尿病慎,四季,生食/煮粥/煲汤/泡茶,枸杞;桂圆;山药;莲子;银耳;花生,海鲜;葱;萝卜,10-20g/日（3-5枚）,10-30g/日,食疗与营养兼顾：含多糖、黄酮、维生素等，具有抗氧化作用。,《本草纲目》要点/现代药理参考
大米,da mi,食材,谷物豆类,平,甘、苦,肝;肾;肺;脾;胃;心;小肠;胆,健脾和胃;益气生津;补中益气;和胃,脾胃虚弱;口干;食少便溏,痰湿、湿热、平和、阳虚、阴虚,适量使用;忌过量；新鲜适量;个体过敏慎,脾虚湿盛慎；孕妇慎；阴虚火旺慎；实热内盛慎；高尿酸慎；海鲜过敏慎,四季,凉拌/煮粥/烹饪/炖煮/泡饮/蒸食/煲汤/煎服/蒸饭,姜;米;红枣;生姜;枸杞;山药,辛辣;油腻;过量油炸,30-100g/日,——,常见食疗与草药条目，兼具调理与保健价值。；营养学参考：高蛋白/矿物质/多糖/不饱和脂肪酸。,《本草纲目》要点/现代药理参考
大蒜,da suan,食材,蔬菜,温,辛,脾;胃,解毒杀虫;温中消积,食积;腹胀,气滞、血虚、湿热、平和、阴虚,适量为宜;忌过食,阴虚火旺慎；脾虚湿盛慎；实热内盛慎；孕妇慎,四季,炒/生食,姜;枸杞;山药,酒精;油炸,100-200g/餐,——,营养学与食疗结合：具降脂、抗氧化、清热等功效。,《本草纲目》要点/现代药理参考
大虾,da xia,食材,海产类,微温,苦甘、辛咸,脾;胃;肺;心;肝;肾;小肠;胆,补肾壮阳;益气,肾虚阳痿;疲倦,痰湿、平和、阳虚、气虚、气滞,适量使用;忌过量,阴虚火旺慎；孕妇慎；实热内盛慎；脾虚湿盛慎,四季,炖煮/煲汤/熬膏/泡茶/外用/生食/蒸食,姜;葱;米,辛辣;油腻,100-200g/餐,——,广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
大麦,da mai,食材,谷物,凉,甘、咸,脾;胃,和胃宽肠;消积,食积;脘腹胀满,痰湿、气滞,适量为宜,脾胃虚弱慎,四季,煮粥/炒制,红豆;薏米,——,30-60g/日,——,营养成分丰富，含氨基酸、多糖及微量元素。,《本草纲目》要点/现代药理参考
大黄,da huang,中药材,清热解毒,温,酸、苦,心;肝;脾;肾;肺;胃;小肠;胆,泻下攻积;清热解毒;活血祛瘀,实热便秘;血瘀痛症,痰湿、平和、气虚、血虚、阴虚,过量慎用,脾虚湿盛慎；阴虚火旺慎；实热内盛慎；孕妇慎,四季,炙用/泡茶/生食/冲服/外用/研末/煲汤/煎服/后下/先煎,姜;枣;米,——,——,15-60g/日,兼具药理与传统用途：具清热、止痛、抗菌或收敛作用。,《本草纲目》要点/现代药理参考
天门冬,tian men dong,中药材,养阴清肺,寒,甘;苦,肺;肾,养阴润燥;清肺生津,阴虚发热;燥咳痰粘;津伤口渴;肠燥便秘,阴虚、湿热、平和,阳虚、痰湿,脾胃虚寒泄泻者慎;外感风寒咳嗽者忌,四季,煎服/熬膏,麦冬;生地黄,——,——,6-12g/日,药食参考条目。滋阴润燥之力强。,《中国药典》/《神农本草经》
天麻,tian ma,中药材,安神,微温、凉,辛、苦甘,脾;胃;肝;肾;肺;胆;心;小肠,息风止痉;平肝潜阳,头晕目眩;惊风抽搐,平和、痰湿、阳虚、气滞、湿热,适量使用;忌过量,阴虚火旺慎；脾虚湿盛慎；孕妇慎；实热内盛慎,四季,生食/炙用/研末/炖煮/煲汤/泡饮/泡茶/煎服,枸杞;红枣;蜂蜜,油腻;辛辣,——,3-9g/日,稀有/名贵药材或补益品，适合体虚调养与药膳配伍。,《本草纲目》要点/现代药理参考
天麻炖鸽汤,tian ma dun ge tang,食材,药膳饮品类,平,甘,肝;肾;肺,头晕;虚劳,肝;肾;肺,血虚、阴虚、平和、痰湿、阳虚,孕期慎用;适量为宜,孕妇慎；实热内盛慎；脾虚湿盛慎；阴虚火旺慎,四季,炖煮,枸杞;红枣;桂圆,过量酒精,适量,6-15g/日,药膳或滋补饮品原料，适宜体虚调养及季节性食疗。,《本草纲目》要点/现代药理参考
女贞子,nu zhen zi,中药材,滋补肝肾,平,甘;苦,肝;肾,滋补肝肾;明目乌发,肝肾阴虚;腰膝酸软;须发早白;目暗不明,阴虚、血虚、平和,阳虚、痰湿,脾胃虚寒泄泻者慎,四季,煎服/熬膏/酒制,旱莲草;枸杞子,——,——,6-12g/日,药食参考条目。补阴而不腻，性平。,《中国药典》/《神农本草经》
姜,jiang;sheng jiang,食材,蔬菜,温,辛、苦,脾;胃;肺;心;小肠;肝;胆;肾,温中散寒;解表止呕,风寒感冒;呕吐;感冒,血虚、气虚、阳虚、平和、湿热,适量为宜;忌过食；适量使用;忌过量,实热内盛慎；脾虚湿盛慎；孕妇慎；阴虚火旺慎,四季,煮汤/泡茶/外用/煎服/熬膏/炖煮/生食/煲汤,姜;枸杞;山药;葱;米,酒精;油炸;辛辣;油腻,100-200g/餐,——,营养学与食疗结合：具降脂、抗氧化、清热等功效。；广泛用于日常食疗、药膳及复方中，兼具营养与药理特性。,《本草纲目》要点/现代药理参考
姜黄,jiang huang,中药材,调味香料类,凉、微温、寒,苦甘、辛,脾;胃;肾;肝;肺;胆;心;小肠,行气解郁;活血止痛,胸胁胀痛;关节疼痛,血虚、平和、阴虚、阳虚、湿热,适量为宜;忌过食,实热内盛慎；阴虚火旺慎；脾虚湿盛慎；孕妇慎,四季,生食/香料/外用/冲泡/炖煮/煲汤/研末/泡茶/煎服/泡酒,姜;枸杞;蜂蜜,酒精;油炸,——,适量入菜,兼具药理与生活应用价值，可入茶、入膳或泡酒使用。,《本草纲目》要点/现代药理参考
威灵仙,wei ling xian,中药材,祛风除湿,温,辛;咸,膀胱,通络止痛;祛风湿,风湿痹痛;骨节疼痛,风湿痹,气血虚弱慎,——,四季,煎服,——,——,——,5-10g/日,镇痛相关,中医方药
射干,she gan,中药材,清热解毒,寒,苦,肺,清热解毒;利咽消痰,热毒咽痛;喉痹;痰热咳嗽;痈肿疮毒,湿热、痰湿、平和,脾虚、阳虚,脾虚便溏者慎;孕妇慎,四季,煎服/研末,山豆根;牛蒡子,——,——,3-9g/日,药食参考条目。善清肺火，利咽喉。,《中国药典》/《神农本草经》
小白菜,xiao bai cai,食材,蔬菜,凉,甘,肺;胃,清热解毒;利肠胃,热毒;便秘,湿热、平和,适量为宜,脾胃虚寒慎,四季,炒/煮汤,香菇;豆腐,——,150-200g/餐,——,即青菜，性凉清热，适合夏季食用。,现代营养学
小米,xiao mi,食材,谷物豆类,平,甘咸、苦,脾;胃;肺;肝;肾;心;小肠;胆,健脾和胃;安神;安眠,食欲不振;失眠;产后体虚,平和、湿热、血虚、阴虚、阳虚,适量使用;忌过量；新鲜适量;个体过敏慎,孕妇慎；阴虚火旺慎；脾虚湿盛慎；实热内盛慎；高尿酸慎；海鲜过敏慎,四季,炖煮/烹饪/煎服/泡饮/蒸食/煲汤/煮粥,姜;米;红枣;生姜;枸杞;山药,辛辣;油腻;过量油炸,50-100g/餐,——,常见食疗与草药条目，兼具调理与保健价值。；营养学参考：高蛋白/矿物质/多糖/不饱和脂肪酸。,《本草纲目》要点/现代药理参考
小茴香,xiao hui xiang,中药材,温里,温,辛,肝;肾;脾;胃,散寒止痛;理气和胃,寒疝腹痛;胃寒呕吐,阳虚、气滞,适量为宜,阴虚火旺慎,四季,调味/煎服,猪肉;羊肉,——,3-6g/餐,3-6g/日,药食两用：具温里、理气作用。,《本草纲目》要点/现代药理参考
山楂,shan zha,中药材,果品,微温,酸甘、酸涩,脾;胃;肝;肾;肺;心;小肠;胆,消食化积;活血化瘀,肉食积滞;胸痹,平和、湿热、气虚、血虚、痰湿,适量为宜;忌过食；过量慎用,阴虚火旺慎；孕妇慎；脾虚湿盛慎；实热内盛慎,四季,煮水/研末/后下/冲服/泡茶/煎服/外用/煲汤/炙用/生食/先煎,姜;枸杞;山药;枣;米;陈皮;麦芽;红糖,酒精;油炸,——,3-9g/日,营养学与食疗结合：具降脂、抗氧化、清热等功效。；兼具药理与传统用途：具清热、止痛、抗菌或收敛作用。,《本草纲目》要点/现代药理参考
山茱萸,shan zhu yu,中药材,理气、祛湿利水、补益,温,咸、甘,心;小肠;肺;脾;胃;肾;肝;胆,补益肝肾;涩精固脱,腰膝酸痛;遗精,阴虚、血虚、阳虚、平和、痰湿,过量慎用,孕妇慎；阴虚火旺慎；实热内盛慎；脾虚湿盛慎,四季,煎服/先煎/冲服/煲汤/后下/泡茶/生食/研末/外用,姜;枣;米,——,——,1-3g/日,药食两用：具补益、安神或抗疲劳作用。,《本草纲目》要点/现代药理参考
山药,shan yao,食材,谷物,平,甘、甘酸,脾;肺;肾;胃;心;小肠;肝;胆;大肠;膀胱,补脾养胃;生津益肺,脾虚泄泻;肺虚咳嗽,平和、气滞、痰湿、气虚、阳虚,适量为宜;忌过食；过量慎用,孕妇慎；实热内盛慎；阴虚火旺慎；脾虚湿盛慎,四季,蒸/煮/煲汤/冲服/外用/先煎/煎服/后下/炙用/泡茶/研末冲服/包煎,姜;枸杞;山药;蜂蜜;红枣;莲子;百合;薏米;茯苓,酒精;油炸;猪肝;碱性食物;鲤鱼,100-250g/餐,——,营养成分丰富，含氨基酸、多糖及微量元素。；常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。；食疗与营养兼顾：含多糖、黄酮、维生素等，具有抗氧化作用。,《本草纲目》要点/现代药理参考
川牛膝,chuan niu xi,中药材,理气,热、温,酸、辛,肺;脾;胃;肾;肝;心;小肠;胆,活血通经;补肝肾,腰膝酸软;血滞经闭,气滞、平和、血虚、气虚、阴虚,过量慎用,实热内盛慎；脾虚湿盛慎；阴虚火旺慎；孕妇慎,四季,冲服/煲汤/生食/炙用/研末/外用/后下/先煎/泡茶,姜;枣;米,——,——,15-60g/日,药食两用：具补益、安神或抗疲劳作用。,《本草纲目》要点/现代药理参考
川芎,chuan xiong,中药材,温里,温,甘酸、苦,肺;脾;胃;肝;胆;心;小肠;肾;膀胱,活血行气;祛风止痛,头痛;痛经;风湿痹痛,痰湿、阳虚、气虚、气滞、血虚,过量慎用,阴虚火旺慎；脾虚湿盛慎；孕妇慎；实热内盛慎,四季,炙用/煎服/泡茶/后下/先煎/冲服/外用/煲汤/包煎/研末冲服,川芎,——,——,6-15g/日,常用药理特性：具免疫调节与抗炎作用。；常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
川贝母,chuan bei mu,中药材,化痰止咳,大热,甘、咸,肝;胆;膀胱;肾;肺;脾;胃;心;小肠,清热化痰;润肺止咳,燥咳痰少;咽痛,阴虚、痰湿、湿热、气虚、气滞,过量慎用,孕妇慎；高尿酸慎；脾虚湿盛慎；阴虚火旺慎；实热内盛慎,四季,冲服/煲汤/先煎/煎服/包煎,川贝母,——,——,15-60g/日,常用药理特性：具免疫调节、抗炎、抗氧化等作用。,《本草纲目》要点/现代药理参考
